Area,Item,2000,2010,2015,2020,Land Area(Km2),2000 Population,2010 Population,2015 Population,2020 Population,2000/area,2010/area,2015/area,2020/area,2000/pop,2010/pop,2015/pop,2020/pop
Afghanistan,All sectors with LULUCF,-1474.803,8751.9016,7937.7809,9592.6574,652230.0,19542982.0,28189672.0,33753499.0,38972230.0,-0.0022611701393680144,0.013418428468485042,0.01217021740796958,0.01470747650368735,-7.546458365463368e-05,0.0003104648255573885,0.0002351691272066342,0.00024614083925913403
Afghanistan,All sectors without LULUCF,914.0,8630.0,8184.0,9438.0,652230.0,19542982.0,28189672.0,33753499.0,38972230.0,0.0014013461508976895,0.01323152875519372,0.012547720896002944,0.01447035554942275,4.676870704788041e-05,0.00030614049003479003,0.00024246375168393653,0.00024217243919580686
Albania,All sectors with LULUCF,3344.0616,3806.9481,4040.6095,5026.4672,28748.0,3182021.0,2913399.0,2882481.0,2866849.0,0.11632327814108807,0.13242479824683456,0.1405527167107277,0.17484580492556004,0.0010509237996857972,0.001306703304284789,0.0014017818330805997,0.001753307272200245
Albania,All sectors without LULUCF,3160.67,4930.46,4892.6,5272.85,28748.0,3182021.0,2913399.0,2882481.0,2866849.0,0.1099439961040768,0.17150619173507722,0.17018923055516907,0.18341623765131487,0.0009932901134216273,0.001692339428962528,0.001697357241903763,0.0018392492942600046
Algeria,All sectors with LULUCF,92645.083,118196.1917,166276.544,175699.32,2381741.0,30774621.0,35856344.0,39543154.0,43451666.0,0.03889805104753204,0.04962596340240186,0.06981302500985623,0.0737692805388999,0.003010437821476339,0.0032963815747640082,0.004204938837200492,0.0040435577314803075
Algeria,All sectors without LULUCF,92071.29,120601.69,166901.96,175502.2,2381741.0,30774621.0,35856344.0,39543154.0,43451666.0,0.03865713778282357,0.050635938164561134,0.07007561275554311,0.07368651755165655,0.0029917928152551412,0.0033634686793500195,0.0042207548745352985,0.0040390211965635565
Angola,All sectors with LULUCF,26917.6707,58935.1133,64591.0071,62374.852,1246700.0,16394062.0,23364185.0,28127721.0,33428485.0,0.021591137162107962,0.04727289107243122,0.05180958297906473,0.050031965990214165,0.0016419158778343036,0.002522455343509735,0.002296346977417758,0.0018659192003466505
Angola,All sectors without LULUCF,16725.0,23433.0,29090.0,26890.0,1246700.0,16394062.0,23364185.0,28127721.0,33428485.0,0.013415416700088233,0.018796021496751424,0.023333600705863478,0.021568942006898212,0.0010201864553153453,0.0010029453199416115,0.001034211054638945,0.0008044037891636429
Antigua and Barbuda,All sectors with LULUCF,295.52,458.24,483.16,472.23,443.0,75055.0,85695.0,89941.0,92664.0,0.6670880361173814,1.0344018058690745,1.0906546275395035,1.065981941309255,0.0039373792552128434,0.005347336484042243,0.0053719660666436886,0.005096153846153847
Antigua and Barbuda,All sectors without LULUCF,295.52,458.24,483.16,472.23,443.0,75055.0,85695.0,89941.0,92664.0,0.6670880361173814,1.0344018058690745,1.0906546275395035,1.065981941309255,0.0039373792552128434,0.005347336484042243,0.0053719660666436886,0.005096153846153847
Argentina,All sectors with LULUCF,192303.8578,288819.2697,267179.3126,204717.6459,2780400.0,37070774.0,41100123.0,43257065.0,45036032.0,0.06916409789958279,0.1038768773198101,0.09609383995108618,0.07362884689253345,0.005187478896448183,0.007027211809074148,0.0061765474056087715,0.004545641274524363
Argentina,All sectors without LULUCF,145728.95,191740.1,199361.0,172751.7,2780400.0,37070774.0,41100123.0,43257065.0,45036032.0,0.05241294418069343,0.06896133649834556,0.0717022730542368,0.062131959430297805,0.00393110081812697,0.00466519528420876,0.004608750038866484,0.00383585525474358
Armenia,All sectors with LULUCF,3759.5921,4513.1818,5122.7903,6425.0668,29743.0,3168523.0,2946293.0,2878595.0,2805608.0,0.12640258548229835,0.1517392932790909,0.17223515785226776,0.21601946004101805,0.001186544045916662,0.0015318170324540024,0.0017796148120871466,0.0022900800111776125
Armenia,All sectors without LULUCF,3629.0,4390.0,5201.0,6389.0,29743.0,3168523.0,2946293.0,2878595.0,2805608.0,0.12201190196012507,0.14759775409340012,0.17486467404095082,0.21480684530813973,0.0011453285963207464,0.0014900079523659053,0.0018067842124369702,0.002277224758412437
Aruba,All sectors with LULUCF,2383.3016,2514.2577,902.9935,877.7778,179.0,89101.0,100341.0,104257.0,106585.0,13.31453407821229,14.046132402234637,5.044656424581006,4.903786592178771,0.026748314833728012,0.025057132179268696,0.00866122658430609,0.008235472158371253
Aruba,All sectors without LULUCF,2383.3,2514.35,903.05,877.9,179.0,89101.0,100341.0,104257.0,106585.0,13.314525139664806,14.046648044692738,5.044972067039106,4.9044692737430164,0.026748296876578266,0.025058052042534956,0.00866176851434436,0.008236618661162452
Australia,All sectors with LULUCF,391068.7309,435616.5114,350697.9847,359523.4515,7741220.0,19017963.0,22019168.0,23820236.0,25670051.0,0.05051771308656775,0.056272333223962114,0.04530267641276181,0.04644273790177776,0.020563123973897732,0.019783513682260837,0.014722691441848014,0.014005560468111264
Australia,All sectors without LULUCF,340302.5,405903.9,379804.5,356995.03,7741220.0,19017963.0,22019168.0,23820236.0,25670051.0,0.04395980220172014,0.052434099534698665,0.04906261545337815,0.0461161199397511,0.017893740775497356,0.018434116130091747,0.015944615326229344,0.013907063527065062
Austria,All sectors with LULUCF,52566.9879,65106.9235,57505.0431,52673.5238,83871.0,8010428.0,8362829.0,8642421.0,8907777.0,0.6267599992846157,0.7762745585482467,0.6856367886396967,0.6280302345268329,0.006562319504026502,0.007785274994861188,0.006653811831198689,0.0059132063813452
Austria,All sectors without LULUCF,65861.1,71080.193,64380.193,59600.193,83871.0,8010428.0,8362829.0,8642421.0,8907777.0,0.7852666595128234,0.8474942828868143,0.7676096982270392,0.7106174124548413,0.008221920226984127,0.008499539210953614,0.007449323864227396,0.006690804338725587
Azerbaijan,All sectors with LULUCF,41885.1119,28415.3253,32451.65,34303.9779,86600.0,8190337.0,9237202.0,9863480.0,10284951.0,0.4836618002309469,0.32812153926097,0.37473036951501154,0.39611983718244803,0.0051139668489831374,0.0030761831667208317,0.003290081188383816,0.003335356473744989
Azerbaijan,All sectors without LULUCF,43464.0,30230.0,35300.0,36220.0,86600.0,8190337.0,9237202.0,9863480.0,10284951.0,0.5018937644341801,0.34907621247113163,0.407621247113164,0.4182448036951501,0.0053067413465404415,0.0032726360211674486,0.0035788585772972624,0.0035216502246826456
Bahamas,All sectors with LULUCF,1962.075,2404.222,2053.185,1863.25,13878.0,325014.0,373272.0,392697.0,406471.0,0.1413802421098141,0.17323980400634098,0.14794530912235193,0.13425925925925927,0.006036893795344201,0.006440938511326861,0.0052284203851824685,0.004583967859945728
Bahamas,All sectors without LULUCF,1962.075,2404.222,2053.185,1863.25,13878.0,325014.0,373272.0,392697.0,406471.0,0.1413802421098141,0.17323980400634098,0.14794530912235193,0.13425925925925927,0.006036893795344201,0.006440938511326861,0.0052284203851824685,0.004583967859945728
Bahrain,All sectors with LULUCF,21078.1374,31717.7289,35207.1053,27137.1111,765.0,711442.0,1213645.0,1362142.0,1477469.0,27.553120784313727,41.46108352941176,46.02235986928105,35.473347843137255,0.02962734474489839,0.026134272295440592,0.02584686860841234,0.018367296437353336
Bahrain,All sectors without LULUCF,21080.0,31720.0,35210.0,27140.0,765.0,711442.0,1213645.0,1362142.0,1477469.0,27.555555555555557,41.4640522875817,46.02614379084967,35.47712418300654,0.029629962807930933,0.026136143600476253,0.025848993717248275,0.01836925174064566
Bangladesh,All sectors with LULUCF,47341.0335,74078.4406,92586.2258,111741.2199,148460.0,129193327.0,148391139.0,157830000.0,167420951.0,0.3188807321837532,0.49897912299609326,0.6236442529974404,0.7526688663613095,0.0003664355938445644,0.0004992106745673002,0.0005866199442438067,0.0006674267421883179
Bangladesh,All sectors without LULUCF,29570.0,55910.0,74970.0,94200.0,148460.0,129193327.0,148391139.0,157830000.0,167420951.0,0.1991782298262158,0.3765997575104405,0.5049845076114778,0.6345143472989357,0.00022888179046584968,0.00037677451886126436,0.00047500475194829883,0.0005626535952480643
Barbados,All sectors with LULUCF,1163.0234,1469.6157,1279.5525,1118.2672,430.0,264657.0,274711.0,278083.0,280693.0,2.704705581395349,3.417710930232558,2.975703488372093,2.600621395348837,0.004394455464998092,0.005349679117326937,0.004601333055238904,0.003983951149476474
Barbados,All sectors without LULUCF,1163.0,1471.0,1280.4,1120.1,430.0,264657.0,274711.0,278083.0,280693.0,2.7046511627906975,3.4209302325581397,2.9776744186046513,2.6048837209302325,0.004394367048670543,0.005354718231159291,0.00460438070647972,0.003990480703116928
Belarus,All sectors with LULUCF,45379.8065,60893.4354,65886.1137,61103.6775,207600.0,10256483.0,9731427.0,9700609.0,9633740.0,0.2185925168593449,0.2933209797687861,0.3173704898843931,0.29433370664739883,0.004424499752985502,0.006257400420308348,0.006791956432838392,0.006342674547994859
Belarus,All sectors without LULUCF,57386.5,65691.8,61986.3,62697.3,207600.0,10256483.0,9731427.0,9700609.0,9633740.0,0.2764282273603083,0.3164344894026975,0.29858526011560693,0.3020101156069364,0.005595144066440709,0.006750479657300004,0.006389939023415953,0.006508095506002861
Belgium,All sectors with LULUCF,116234.3424,113538.1361,100820.8774,91085.8171,30528.0,10264343.0,10877947.0,11248303.0,11561717.0,3.8074666666666666,3.7191475399633123,3.302570669549266,2.983681115697065,0.011324089851634926,0.010437459945337112,0.008963207818992784,0.007878225794663544
Belgium,All sectors without LULUCF,120202.3,116511.96,103141.7,90883.32,30528.0,10264343.0,10877947.0,11248303.0,11561717.0,3.937444313417191,3.8165605345911953,3.378593422431866,2.977047955974843,0.011710666722653364,0.010710840933496,0.009169534284416058,0.007860711345901305
Belize,All sectors with LULUCF,6882.5556,3756.3512,6081.2921,5761.9301,22966.0,240406.0,322106.0,359871.0,394921.0,0.2996845597840285,0.16356140381433423,0.264795441086824,0.2508895802490638,0.02862888447043751,0.011661847963092895,0.016898533363344088,0.014590082826691919
